Date,Sample_Count,RMS,Mean,Std,Min,Max,Peak_to_Peak,Failed_Count,Passed_Count,Failed_Ratio
2021-11-18 02:18:55.490000+00:00,1024,1.9487234501149548,-0.05031013488769531,1.9490258194622883,-3.45703125,3.15234375,6.609375,380,644,0.37109375
2021-11-18 02:20:47.275000+00:00,1024,1.8965819694165869,-0.059291839599609375,1.8965812293882862,-3.29296875,3.31640625,6.609375,348,676,0.33984375
2021-11-18 02:22:39.256000+00:00,1024,1.92881754906469,0.01239776611328125,1.9297201807310183,-3.19921875,3.216796875,6.416015625,383,641,0.3740234375
2021-11-18 02:24:27.298000+00:00,1024,1.9132720599687834,0.03200531005859375,1.9139391168861442,-3.28125,3.146484375,6.427734375,347,677,0.3388671875
2021-11-18 02:26:18.962000+00:00,1024,1.8863754700600148,-0.05916404724121094,1.8863687383116134,-3.3515625,3.310546875,6.662109375,343,681,0.3349609375
2021-11-18 02:28:05.682000+00:00,1024,1.910341441064583,-0.061496734619140625,1.9102843326345675,-3.240234375,3.181640625,6.421875,348,676,0.33984375
2021-11-18 02:29:48.606000+00:00,1024,1.9106244047895233,-0.07812309265136719,1.9099593829998895,-3.45703125,3.216796875,6.673828125,355,669,0.3466796875
2021-11-18 02:31:36.742000+00:00,1024,1.8909469608179905,-0.029859542846679688,1.8916350688090042,-3.2578125,3.169921875,6.427734375,346,678,0.337890625
2021-11-18 02:33:26.216000+00:00,1024,1.881807199366603,0.01648712158203125,1.8826544628919235,-3.216796875,3.28125,6.498046875,332,692,0.32421875
2021-11-18 02:35:14.327000+00:00,1024,1.9374188360010962,0.028606414794921875,1.9381542300185042,-3.263671875,3.240234375,6.50390625,364,660,0.35546875
2021-11-18 02:37:02.356000+00:00,1024,1.8847341139536034,-0.016641616821289062,1.885581561378185,-3.3984375,3.216796875,6.615234375,341,683,0.3330078125
2021-11-18 02:38:50.602000+00:00,1024,1.9084368311770128,-0.009729385375976562,1.9093445552368868,-3.158203125,3.216796875,6.375,345,679,0.3369140625
2021-11-18 02:40:40.906000+00:00,1024,1.9381517863675293,0.0412139892578125,1.9386603804081468,-3.140625,3.240234375,6.380859375,371,653,0.3623046875
2021-11-18 02:42:31.424000+00:00,1024,1.9219259065383392,-0.07089996337890625,1.9215561983780225,-3.263671875,3.240234375,6.50390625,352,672,0.34375
2021-11-18 02:44:18.099000+00:00,1024,1.9327209766694058,-0.0052776336669921875,1.9336581705549352,-3.193359375,3.234375,6.427734375,361,663,0.3525390625
